LGA,Region,Section of State,Year,Portion Bullied
ALPINE,Hume,Regional Victoria,2008,"4,264.2"
ARARAT,Central Highlands,Regional Victoria,2008,"6,248.0"
BALLARAT,Central Highlands,Regional Victoria,2008,"6,246.0"
BANYULE,Melbourne,Metropolitan Melbourne,2008,"5,088.8"
BASS COAST,Gippsland,Regional Victoria,2008,"5,066.2"
BAW BAW,Gippsland,Regional Victoria,2008,"7,859.5"
BAYSIDE,Melbourne,Metropolitan Melbourne,2008,"15,980.9"
BENALLA,Hume,Regional Victoria,2008,"4,500.0"
BOROONDARA,Melbourne,Metropolitan Melbourne,2008,"5,375.0"
BRIMBANK,Melbourne,Metropolitan Melbourne,2008,"4,761.1"
BULOKE,Loddon Mallee North,Regional Victoria,2008,"1,859.1"
CAMPASPE,Loddon Mallee North,Regional Victoria,2008,"3,806.4"
CARDINIA,Melbourne,Metropolitan Melbourne,2008,"4,328.9"
CASEY,Melbourne,Metropolitan Melbourne,2008,"9,862.7"
CENTRAL GOLDFIELDS,Loddon Mallee South,Regional Victoria,2008,"5,900.6"
COLAC OTWAY,G21,Regional Victoria,2008,"2,635.3"
CORANGAMITE,Great South Coast,Regional Victoria,2008,"4,912.7"
DAREBIN,Melbourne,Metropolitan Melbourne,2008,"4,824.2"
EAST GIPPSLAND,Gippsland,Regional Victoria,2008,"6,528.6"
FRANKSTON,Melbourne,Metropolitan Melbourne,2008,"3,318.5"
GANNAWARRA,Loddon Mallee North,Regional Victoria,2008,"6,893.4"
GLEN EIRA,Melbourne,Metropolitan Melbourne,2008,"8,175.4"
GLENELG,Great South Coast,Regional Victoria,2008,"3,263.2"
GREATER BENDIGO,Loddon Mallee South,Regional Victoria,2008,"4,043.1"
GREATER DANDENONG,Melbourne,Metropolitan Melbourne,2008,"10,079.5"
GREATER GEELONG,G21,Regional Victoria,2008,"2,292.9"
GREATER SHEPPARTON,Hume,Regional Victoria,2008,"2,678.5"
HEPBURN,Central Highlands,Regional Victoria,2008,"4,550.4"
HINDMARSH,Wimmera Southern Mallee,Regional Victoria,2008,"4,831.5"
HOBSONS BAY,Melbourne,Metropolitan Melbourne,2008,"4,831.9"
HORSHAM,Wimmera Southern Mallee,Regional Victoria,2008,"4,548.2"
HUME,Melbourne,Metropolitan Melbourne,2008,"3,502.9"
INDIGO,Hume,Regional Victoria,2008,"4,338.1"
KINGSTON,Melbourne,Metropolitan Melbourne,2008,"3,304.3"
KNOX,Melbourne,Metropolitan Melbourne,2008,"2,093.8"
LATROBE,Gippsland,Regional Victoria,2008,"5,668.3"
LODDON,Loddon Mallee South,Regional Victoria,2008,"6,684.8"
MACEDON RANGES,Loddon Mallee South,Regional Victoria,2008,"3,413.3"
MANNINGHAM,Melbourne,Metropolitan Melbourne,2008,"6,157.7"
MANSFIELD,Hume,Regional Victoria,2008,"3,030.1"
MARIBYRNONG,Melbourne,Metropolitan Melbourne,2008,"4,524.5"
MAROONDAH,Melbourne,Metropolitan Melbourne,2008,"3,729.6"
MELBOURNE,Melbourne,Metropolitan Melbourne,2008,"3,772.3"
MILDURA,Loddon Mallee North,Regional Victoria,2008,"3,939.8"
MITCHELL,Hume,Regional Victoria,2008,"6,547.3"
MOIRA,Hume,Regional Victoria,2008,"3,614.7"
MONASH,Melbourne,Metropolitan Melbourne,2008,"7,967.3"
MOONEE VALLEY,Melbourne,Metropolitan Melbourne,2008,"4,900.2"
MOORABOOL,Central Highlands,Regional Victoria,2008,"3,887.0"
MORELAND,Melbourne,Metropolitan Melbourne,2008,"9,236.1"
MORNINGTON PENINSULA,Melbourne,Metropolitan Melbourne,2008,"8,022.3"
MOUNT ALEXANDER,Loddon Mallee South,Regional Victoria,2008,"5,221.8"
MOYNE,Great South Coast,Regional Victoria,2008,"7,592.9"
MURRINDINDI,Hume,Regional Victoria,2008,"6,936.3"
NILLUMBIK,Melbourne,Metropolitan Melbourne,2008,"3,368.2"
NORTHERN GRAMPIANS,Wimmera Southern Mallee,Regional Victoria,2008,"6,667.2"
PORT PHILLIP,Melbourne,Metropolitan Melbourne,2008,"5,976.4"
PYRENEES,Central Highlands,Regional Victoria,2008,"4,939.6"
SOUTH GIPPSLAND,Gippsland,Regional Victoria,2008,"3,209.3"
SOUTHERN GRAMPIANS,Great South Coast,Regional Victoria,2008,"4,717.1"
STONNINGTON,Melbourne,Metropolitan Melbourne,2008,"5,483.3"
STRATHBOGIE,Hume,Regional Victoria,2008,"1,763.6"
SURF COAST,G21,Regional Victoria,2008,"6,129.6"
SWAN HILL,Loddon Mallee North,Regional Victoria,2008,"5,208.4"
TOWONG,Hume,Regional Victoria,2008,"2,897.8"
WANGARATTA,Hume,Regional Victoria,2008,"3,528.2"
WARRNAMBOOL,Great South Coast,Regional Victoria,2008,"7,850.2"
WELLINGTON,Gippsland,Regional Victoria,2008,"4,406.9"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2008,"2,809.0"
WHITEHORSE,Melbourne,Metropolitan Melbourne,2008,"9,209.1"
WHITTLESEA,Melbourne,Metropolitan Melbourne,2008,"3,718.7"
WYNDHAM,Melbourne,Metropolitan Melbourne,2008,"3,296.4"
YARRA,Melbourne,Metropolitan Melbourne,2008,"2,627.9"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2008,"6,384.2"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2008,"3,415.5"
ALPINE,Hume,Regional Victoria,2009,"2,702.3"
ARARAT,Central Highlands,Regional Victoria,2009,"4,719.4"
BALLARAT,Central Highlands,Regional Victoria,2009,"2,137.0"
BANYULE,Melbourne,Metropolitan Melbourne,2009,"7,005.8"
